rn,B6_x_cast_1xE3_5_bla_1,B6_x_cast_1xE3_5_bla_2,B6_x_cast_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_1,cast_x_B6_1xE3_5_bla_2,cast_x_B6_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_5,cast_x_B6_1xE3_5_bla_7
Zbtb1,177,189,79,28,125,98,69,37
Plekhg3,1062,1471,989,917,1649,807,1389,983
AI463170,0,4,15,29,0,0,0,5
Sptb,76,8,68,2,57,2,7,6
Churc1,1518,954,1064,752,951,1328,1094,532
Gpx2,80,262,485,7,510,1967,651,267
Rab15,132,100,55,3,148,146,53,14
Fntb,655,448,411,311,744,677,537,453
Max,178,106,111,298,120,167,218,215
Fut8,210,171,154,214,145,186,206,99
Gphn,32,32,16,293,108,119,77,92
Mpp5,369,327,243,392,284,425,449,307
Atp6v1d,1872,1211,1345,600,1744,2276,1545,1183
Eif2s1,1635,1114,2081,632,1810,3635,1924,1579
Plek2,47,82,114,75,379,121,232,80
Tmem229b,77,277,100,52,278,91,112,80
Plekhh1,631,601,531,111,470,497,227,471
Pigh,139,78,89,119,176,264,156,91
9230116L04Rik,1,7,1,0,4,5,8,7
Arg2,22,15,15,21,1,98,39,3
Vti1b,1949,1419,1605,439,2402,2983,1634,1441
Rdh11,78,30,70,18,58,155,202,72
Zfyve26,1128,845,1020,845,1773,1000,1151,1137
Rad51b,251,219,251,648,277,200,160,210
Zfp36l1,2940,2810,2447,454,2357,3132,2089,1986
2310015A10Rik,40,28,13,31,69,58,36,22
Actn1,1054,850,496,1056,535,372,485,341
Dcaf5,279,159,232,209,216,137,66,221
Exd2,178,165,278,211,182,256,229,177
Galnt16,1,6,4,1,16,28,12,56
Erh,933,676,939,54,1062,1382,1077,774
Slc39a9,1018,703,988,1143,538,1055,756,539
Plekhd1os,60,11,47,0,21,107,23,42
Plekhd1,198,161,73,58,184,50,33,129
Susd6,739,364,378,249,243,555,533,424
Gm20337,28,19,32,0,112,36,88,69
Srsf5,873,517,687,591,825,670,779,577
Slc10a1,45,22,0,2,7,6,13,3
Smoc1,309,516,210,147,173,118,192,96
Cox16,522,352,541,748,412,376,536,354
Synj2bp,476,312,364,100,270,453,266,283
Med6,389,281,358,239,391,341,430,274
Ttc9,48,3,35,17,128,45,38,48
Map3k9,150,164,172,208,562,123,187,279
Pcnx,196,184,196,208,279,114,263,149
Sipa1l1,799,912,569,382,484,713,565,727
Rgs6,0,0,0,5,0,4,0,0
Dpf3,61,51,113,64,334,71,126,136
Dcaf4,1351,1317,1095,915,2047,834,936,971
Zfyve1,964,569,1091,709,979,454,907,650
Rbm25,13576,10616,10849,2420,6092,8719,7654,5518
Psen1,2584,2246,1662,1486,1929,2482,1513,1552
Papln,9,0,0,0,0,0,0,0
Numb,2955,1968,3485,960,2139,3527,2766,1525
2410016O06Rik,1847,792,1177,791,1104,700,1054,779
Acot2,590,532,574,259,571,349,299,357
Acot3,50,8,5,5,9,12,0,6
Dnal1,24,7,12,3,61,22,21,4
Pnma1,10,0,5,0,61,1,18,2
Elmsan1,203,127,241,142,206,156,185,57
Ptgr2,637,447,584,314,575,653,409,538
Zfp410,927,422,813,553,859,1148,878,805
Fam161b,48,7,32,166,1,17,36,67
Coq6,555,382,709,142,614,897,536,436
Entpd5,169,51,19,184,294,155,57,78
Bbof1,24,46,1,0,15,16,12,3
Rnf113a2,315,231,286,333,508,296,539,260
Aldh6a1,510,370,534,1283,1112,608,350,697
Lin52,145,114,132,156,93,111,138,162
Abcd4,511,389,234,348,605,136,247,248
Npc2,8367,6062,8969,2842,11433,12357,7500,7552
Isca2,215,168,287,585,447,421,366,284
Ltbp2,18,12,4,6,67,32,12,102
Arel1,307,148,104,317,207,188,142,123
Fcf1,1556,1046,1463,829,1587,1727,1150,1112
Ylpm1,963,501,705,550,523,322,760,331
Dlst,1283,794,1278,575,1315,1538,1163,932
Rps6kl1,6,15,16,52,31,64,52,43
Eif2b2,1718,1346,2653,499,2045,2906,2475,1405
Mlh3,183,137,69,331,104,119,116,112
Acyp1,234,97,221,274,430,343,200,275
Zc2hc1c,20,3,17,148,37,66,17,34
Nek9,315,214,291,363,341,452,350,347
Tmed10,3331,2214,3049,814,3478,6027,3389,2473
Jdp2,47,79,36,3,11,10,5,12
Batf,27,0,0,0,0,6,7,3
